ticker_id,last_update,last_update_timestamp,now,now_timestamp,price,price_changed
btc-bitcoin,2023-08-02 10:26:18 +0000 UTC,1690971978,2023-08-02 10:29:14.984399 +0000 UTC,1690972154,29459.483105,false
btc-bitcoin,2023-08-02 10:26:18 +0000 UTC,1690971978,2023-08-02 10:29:24.841839 +0000 UTC,1690972164,29459.483105,false
btc-bitcoin,2023-08-02 10:26:18 +0000 UTC,1690971978,2023-08-02 10:29:34.856323 +0000 UTC,1690972174,29459.483105,false
btc-bitcoin,2023-08-02 10:26:18 +0000 UTC,1690971978,2023-08-02 10:29:44.854367 +0000 UTC,1690972184,29459.483105,false
btc-bitcoin,2023-08-02 10:26:18 +0000 UTC,1690971978,2023-08-02 10:29:54.862615 +0000 UTC,1690972194,29459.483105,false
btc-bitcoin,2023-08-02 10:26:18 +0000 UTC,1690971978,2023-08-02 10:30:04.846393 +0000 UTC,1690972204,29459.483105,false
btc-bitcoin,2023-08-02 10:27:17 +0000 UTC,1690972037,2023-08-02 10:30:14.874899 +0000 UTC,1690972214,29461.237966,true
btc-bitcoin,2023-08-02 10:27:17 +0000 UTC,1690972037,2023-08-02 10:30:24.832457 +0000 UTC,1690972224,29461.237966,false
btc-bitcoin,2023-08-02 10:27:17 +0000 UTC,1690972037,2023-08-02 10:30:34.840039 +0000 UTC,1690972234,29461.237966,false
btc-bitcoin,2023-08-02 10:27:17 +0000 UTC,1690972037,2023-08-02 10:30:44.815085 +0000 UTC,1690972244,29461.237966,false
btc-bitcoin,2023-08-02 10:27:17 +0000 UTC,1690972037,2023-08-02 10:30:54.857783 +0000 UTC,1690972254,29461.237966,false
btc-bitcoin,2023-08-02 10:27:17 +0000 UTC,1690972037,2023-08-02 10:31:04.86599 +0000 UTC,1690972264,29461.237966,false
btc-bitcoin,2023-08-02 10:27:17 +0000 UTC,1690972037,2023-08-02 10:31:14.859377 +0000 UTC,1690972274,29461.237966,false
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:31:25.018927 +0000 UTC,1690972285,29472.850390,true
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:31:34.83158 +0000 UTC,1690972294,29472.850390,false
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:31:44.864265 +0000 UTC,1690972304,29472.850390,false
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:31:54.832815 +0000 UTC,1690972314,29472.850390,false
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:32:04.824299 +0000 UTC,1690972324,29472.850390,false
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:32:14.868801 +0000 UTC,1690972334,29472.850390,false
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:32:24.858121 +0000 UTC,1690972344,29472.850390,false
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:32:34.890216 +0000 UTC,1690972354,29472.850390,false
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:32:44.854521 +0000 UTC,1690972364,29472.850390,false
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:32:54.859838 +0000 UTC,1690972374,29472.850390,false
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:33:04.854307 +0000 UTC,1690972384,29472.850390,false
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:33:14.856515 +0000 UTC,1690972394,29472.850390,false
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:33:24.851132 +0000 UTC,1690972404,29472.850390,false
btc-bitcoin,2023-08-02 10:30:18 +0000 UTC,1690972218,2023-08-02 10:33:34.863649 +0000 UTC,1690972414,29472.850390,false
btc-bitcoin,2023-08-02 10:32:17 +0000 UTC,1690972337,2023-08-02 10:33:45.073129 +0000 UTC,1690972425,29472.321127,true
btc-bitcoin,2023-08-02 10:32:17 +0000 UTC,1690972337,2023-08-02 10:33:54.861843 +0000 UTC,1690972434,29472.321127,false
btc-bitcoin,2023-08-02 10:32:17 +0000 UTC,1690972337,2023-08-02 10:34:04.864991 +0000 UTC,1690972444,29472.321127,false
btc-bitcoin,2023-08-02 10:32:17 +0000 UTC,1690972337,2023-08-02 10:34:14.933079 +0000 UTC,1690972454,29472.321127,false
btc-bitcoin,2023-08-02 10:32:17 +0000 UTC,1690972337,2023-08-02 10:34:24.867282 +0000 UTC,1690972464,29472.321127,false
